Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Eastern Ethiopia,Ethiopia,Eastern Community 1190,14791,Well,92.4,30,0,Latrines,18129,Yes,No,7.5,4.5,75.2
Eastern Rwanda,Rwanda,Eastern Community 1191,10530,River,66.7,40,7,Latrines,8288,Yes,No,3.6,4.4,69.4
Western Uganda,Uganda,Western Community 1192,11514,River,56.9,3,10,Latrines,11332,Yes,No,7.0,10.8,55.0
Dar es Salaam,Tanzania,Dar Community 1193,11174,Borehole,41.9,14,7,Latrines,45432,Yes,No,4.5,22.0,65.8
Northern Malawi,Malawi,Northern Community 1194,6542,Well,40.4,32,3,Toilets,28675,No,Yes,4.5,10.3,52.9
Eastern Rwanda,Rwanda,Eastern Community 1195,11630,Borehole,68.9,40,9,Latrines,34355,No,Yes,8.5,24.0,89.0
Eastern Nigeria,Nigeria,Eastern Community 1196,5629,Borehole,29.0,28,6,Latrines,46827,No,Yes,0.7,29.6,76.4
Dar es Salaam,Tanzania,Dar Community 1197,11514,Well,55.5,17,1,Toilets,46254,No,No,7.4,22.1,63.7
Western Kenya,Kenya,Western Community 1198,792,Borehole,70.3,14,10,Latrines,5831,Yes,No,8.4,28.0,90.5
Dar es Salaam,Tanzania,Dar Community 1199,14888,Well,27.3,22,6,Latrines,28424,Yes,No,8.0,8.8,79.4
Eastern Rwanda,Rwanda,Eastern Community 1200,622,Well,96.4,34,1,Latrines,2625,Yes,No,2.7,13.7,88.2
Eastern Nigeria,Nigeria,Eastern Community 1201,3934,River,66.3,6,3,Toilets,10490,Yes,Yes,1.2,24.2,83.5
Western Uganda,Uganda,Western Community 1202,11537,River,28.0,1,2,Toilets,37482,No,No,4.7,11.2,58.9
Dar es Salaam,Tanzania,Dar Community 1203,6180,Well,58.6,46,4,Latrines,7730,No,No,3.6,1.5,62.7
Eastern Rwanda,Rwanda,Eastern Community 1204,12735,Borehole,51.0,1,1,Toilets,5712,Yes,No,4.8,3.5,79.8
Northern Ghana,Ghana,Northern Community 1205,11379,Well,10.4,46,5,Toilets,41392,No,Yes,9.4,22.8,63.7
Central Senegal,Senegal,Central Community 1206,6648,Borehole,41.1,32,6,Latrines,24928,No,Yes,5.9,7.7,75.6
Northern Ghana,Ghana,Northern Community 1207,6869,Borehole,40.7,22,4,Toilets,24409,Yes,No,3.7,4.5,93.3
Dar es Salaam,Tanzania,Dar Community 1208,9823,River,94.2,39,2,Toilets,18206,No,No,7.5,29.0,51.4
Northern Malawi,Malawi,Northern Community 1209,8289,River,50.4,3,9,Toilets,34722,No,Yes,1.5,9.9,59.7
Northern Malawi,Malawi,Northern Community 1210,9589,Borehole,23.5,28,7,Toilets,31219,Yes,No,9.7,3.0,65.1
Central Senegal,Senegal,Central Community 1211,1257,Borehole,57.5,26,10,Latrines,47649,No,No,3.8,14.2,72.1
Northern Malawi,Malawi,Northern Community 1212,4050,River,62.4,34,7,Toilets,21820,Yes,No,3.9,20.5,68.8
Eastern Nigeria,Nigeria,Eastern Community 1213,2311,Borehole,95.9,19,0,Latrines,19119,No,Yes,3.7,29.1,91.8
Dar es Salaam,Tanzania,Dar Community 1214,11658,Borehole,60.0,3,8,Toilets,29196,No,Yes,6.6,22.3,85.8
Central Senegal,Senegal,Central Community 1215,13750,Well,100.0,44,10,Latrines,25489,No,Yes,4.3,15.6,65.6
Eastern Nigeria,Nigeria,Eastern Community 1216,10013,River,33.3,38,9,Latrines,49352,No,Yes,9.9,20.7,79.7
Western Uganda,Uganda,Western Community 1217,10583,River,93.3,3,6,Toilets,24150,Yes,No,5.1,2.1,50.4
Eastern Ethiopia,Ethiopia,Eastern Community 1218,13797,Well,98.4,45,6,Latrines,4305,Yes,Yes,3.0,15.5,89.1
Eastern Rwanda,Rwanda,Eastern Community 1219,10932,Well,37.3,2,5,Toilets,40567,Yes,Yes,9.3,1.9,65.7
Northern Malawi,Malawi,Northern Community 1220,12157,Well,61.9,33,7,Latrines,24690,Yes,No,7.9,12.1,73.6
Central Senegal,Senegal,Central Community 1221,14789,Borehole,99.3,24,5,Toilets,22713,No,Yes,5.7,15.2,85.8
Eastern Ethiopia,Ethiopia,Eastern Community 1222,2180,River,10.4,35,8,Latrines,29139,Yes,No,6.2,12.0,87.2
Eastern Rwanda,Rwanda,Eastern Community 1223,6442,River,66.6,31,1,Toilets,37286,No,No,7.2,17.4,54.0
Eastern Rwanda,Rwanda,Eastern Community 1224,13143,River,74.0,48,10,Latrines,18480,No,No,3.5,22.6,89.8
Western Kenya,Kenya,Western Community 1225,10553,Borehole,17.1,36,5,Toilets,10994,No,Yes,9.2,5.8,83.0
Central Senegal,Senegal,Central Community 1226,2829,River,47.4,3,6,Toilets,44967,Yes,Yes,9.8,22.2,83.1
Dar es Salaam,Tanzania,Dar Community 1227,6805,Well,42.5,44,1,Toilets,18266,No,Yes,9.4,1.8,65.6
Central Senegal,Senegal,Central Community 1228,13414,Borehole,81.4,46,9,Latrines,39031,Yes,No,2.0,29.5,87.8
Northern Ghana,Ghana,Northern Community 1229,14928,Well,94.7,23,9,Toilets,9712,Yes,No,0.6,5.9,66.6
Central Senegal,Senegal,Central Community 1230,10006,Well,94.1,39,7,Latrines,27770,No,Yes,4.6,15.4,64.1
Western Kenya,Kenya,Western Community 1231,6621,Well,23.5,5,8,Toilets,16072,No,No,6.3,1.2,62.9
Eastern Rwanda,Rwanda,Eastern Community 1232,3544,Well,58.7,41,10,Toilets,48034,Yes,Yes,7.5,1.9,92.5
Eastern Rwanda,Rwanda,Eastern Community 1233,1166,Borehole,79.6,29,0,Toilets,20345,Yes,Yes,2.2,13.4,56.1
Northern Malawi,Malawi,Northern Community 1234,2864,Well,91.4,46,10,Latrines,43674,No,No,9.6,21.4,56.1
Dar es Salaam,Tanzania,Dar Community 1235,6965,Borehole,36.9,48,5,Latrines,29032,Yes,Yes,2.9,9.4,62.1
Eastern Ethiopia,Ethiopia,Eastern Community 1236,6916,Well,29.1,19,9,Latrines,47619,Yes,No,8.0,27.5,81.5
Eastern Rwanda,Rwanda,Eastern Community 1237,5924,Borehole,93.9,19,9,Toilets,31919,No,Yes,5.6,7.7,72.9
Western Kenya,Kenya,Western Community 1238,2877,Borehole,17.7,41,4,Toilets,29138,No,No,6.1,17.9,61.9
Northern Malawi,Malawi,Northern Community 1239,8475,River,98.9,31,0,Toilets,30344,Yes,Yes,7.0,21.9,86.6
Central Senegal,Senegal,Central Community 1240,12459,River,55.9,13,6,Latrines,33271,No,Yes,4.1,13.7,76.1
Eastern Ethiopia,Ethiopia,Eastern Community 1241,7088,River,55.2,39,3,Latrines,40282,Yes,Yes,10.0,13.8,55.1
Eastern Rwanda,Rwanda,Eastern Community 1242,8993,Borehole,84.3,32,8,Toilets,46513,No,Yes,8.8,15.3,73.6
Eastern Ethiopia,Ethiopia,Eastern Community 1243,10374,River,92.0,12,5,Toilets,48632,No,Yes,3.0,16.7,56.4
Eastern Ethiopia,Ethiopia,Eastern Community 1244,5129,Borehole,13.7,4,4,Toilets,40999,Yes,No,6.8,1.5,73.8
Southern Zambia,Zambia,Southern Community 1245,6174,Well,68.0,32,7,Latrines,19058,No,Yes,8.9,6.8,62.7
Northern Ghana,Ghana,Northern Community 1246,11185,River,77.7,44,3,Toilets,11860,No,Yes,3.7,16.0,86.1
Dar es Salaam,Tanzania,Dar Community 1247,8048,Well,30.7,22,0,Toilets,42857,Yes,No,1.9,11.5,83.7
Eastern Nigeria,Nigeria,Eastern Community 1248,8792,River,80.9,10,2,Toilets,23199,Yes,Yes,6.2,11.1,80.8
Southern Zambia,Zambia,Southern Community 1249,6956,River,45.6,33,3,Latrines,11153,Yes,Yes,5.4,12.7,73.1
Southern Zambia,Zambia,Southern Community 1250,10597,Borehole,31.7,50,10,Latrines,4834,No,Yes,1.2,13.3,89.9
Eastern Nigeria,Nigeria,Eastern Community 1251,12057,River,98.7,18,7,Toilets,22555,No,Yes,1.3,12.7,68.5
Southern Zambia,Zambia,Southern Community 1252,2960,River,30.6,39,2,Toilets,23730,Yes,Yes,6.2,19.3,63.7
Eastern Ethiopia,Ethiopia,Eastern Community 1253,6741,Well,24.9,6,10,Latrines,46377,Yes,Yes,3.8,25.8,74.2
Eastern Ethiopia,Ethiopia,Eastern Community 1254,837,River,42.6,14,3,Toilets,48093,Yes,Yes,4.1,4.9,69.6
Dar es Salaam,Tanzania,Dar Community 1255,4828,Borehole,92.1,6,8,Toilets,13676,No,Yes,2.7,10.9,87.0
Central Senegal,Senegal,Central Community 1256,2043,River,10.1,17,0,Toilets,16152,Yes,Yes,5.8,23.8,67.6
Eastern Ethiopia,Ethiopia,Eastern Community 1257,14615,Borehole,15.0,23,8,Toilets,18426,No,No,4.3,26.1,53.3
Western Kenya,Kenya,Western Community 1258,6358,River,17.5,31,0,Toilets,34011,No,Yes,1.1,8.1,66.1
Western Uganda,Uganda,Western Community 1259,11088,River,10.9,32,1,Toilets,49904,Yes,No,7.2,3.9,80.3
Northern Malawi,Malawi,Northern Community 1260,4494,Well,28.8,2,7,Latrines,18037,Yes,Yes,6.6,8.8,74.4
Western Kenya,Kenya,Western Community 1261,9094,River,66.5,1,3,Latrines,29997,No,No,0.8,12.5,83.8
Northern Ghana,Ghana,Northern Community 1262,1319,River,33.7,22,5,Toilets,20133,Yes,Yes,6.4,15.5,89.8
Southern Zambia,Zambia,Southern Community 1263,2935,Borehole,62.2,36,2,Latrines,25599,Yes,No,5.4,7.9,61.2
Eastern Nigeria,Nigeria,Eastern Community 1264,11800,Borehole,61.8,19,6,Toilets,35630,No,Yes,3.8,16.4,83.3
Northern Ghana,Ghana,Northern Community 1265,11651,Well,36.9,9,9,Latrines,12309,No,No,7.3,12.8,63.5
Central Senegal,Senegal,Central Community 1266,14641,Borehole,59.5,41,2,Toilets,16472,Yes,No,2.2,8.5,90.6
Northern Ghana,Ghana,Northern Community 1267,4725,River,99.5,20,9,Latrines,31637,Yes,Yes,8.3,27.2,79.3
Western Kenya,Kenya,Western Community 1268,5923,Well,62.5,41,5,Toilets,44161,Yes,No,5.9,8.9,52.3
Eastern Rwanda,Rwanda,Eastern Community 1269,5619,Well,70.6,32,4,Toilets,48351,No,No,2.3,25.2,58.0
Western Uganda,Uganda,Western Community 1270,11382,River,10.3,20,6,Toilets,40735,No,No,2.0,29.7,62.5
Northern Malawi,Malawi,Northern Community 1271,14297,Well,72.8,8,6,Toilets,42257,No,Yes,6.6,21.4,89.9
Eastern Rwanda,Rwanda,Eastern Community 1272,9516,Well,96.7,23,10,Toilets,11351,No,Yes,1.6,26.7,57.0
Western Uganda,Uganda,Western Community 1273,5016,River,21.5,38,0,Latrines,29334,No,Yes,4.5,5.3,76.7
Eastern Ethiopia,Ethiopia,Eastern Community 1274,14152,River,51.3,14,0,Latrines,6877,Yes,No,1.5,28.2,55.1
Eastern Nigeria,Nigeria,Eastern Community 1275,890,Well,36.2,32,1,Toilets,40694,No,No,7.8,26.1,70.5
Eastern Nigeria,Nigeria,Eastern Community 1276,10848,Well,22.0,43,6,Toilets,22535,Yes,No,1.0,18.0,74.1
Eastern Rwanda,Rwanda,Eastern Community 1277,14290,Borehole,66.4,37,5,Toilets,24472,No,No,9.9,2.7,84.9
Eastern Rwanda,Rwanda,Eastern Community 1278,10675,Well,50.1,24,8,Latrines,45408,No,No,2.0,28.5,78.4
Eastern Ethiopia,Ethiopia,Eastern Community 1279,10864,Well,39.9,30,2,Latrines,19241,No,Yes,9.7,2.2,55.1
Central Senegal,Senegal,Central Community 1280,6271,Borehole,30.4,16,1,Toilets,1090,Yes,No,4.3,6.0,55.6
Southern Zambia,Zambia,Southern Community 1281,2165,Borehole,84.2,45,7,Latrines,34363,Yes,No,8.3,17.1,68.6
Eastern Nigeria,Nigeria,Eastern Community 1282,14278,Borehole,92.5,14,7,Latrines,30455,No,Yes,9.0,14.8,78.9
Southern Zambia,Zambia,Southern Community 1283,2429,River,74.1,50,10,Latrines,31818,Yes,No,7.0,17.3,60.8
Eastern Nigeria,Nigeria,Eastern Community 1284,9113,Borehole,74.1,27,6,Latrines,27764,Yes,No,4.2,9.0,79.6
Western Uganda,Uganda,Western Community 1285,4893,Well,40.0,29,9,Latrines,21515,Yes,No,8.9,22.6,53.2
Western Uganda,Uganda,Western Community 1286,7150,Borehole,52.3,29,2,Toilets,23287,No,Yes,0.5,4.3,85.4
Western Uganda,Uganda,Western Community 1287,13564,Well,30.5,17,6,Latrines,32227,No,Yes,9.9,3.7,64.3
Central Senegal,Senegal,Central Community 1288,14729,Well,27.4,28,5,Toilets,47001,Yes,Yes,1.0,10.2,89.7
Northern Ghana,Ghana,Northern Community 1289,3652,River,21.4,36,2,Latrines,5859,Yes,Yes,2.2,12.6,80.4
Eastern Rwanda,Rwanda,Eastern Community 1290,6252,River,51.8,40,10,Latrines,48898,Yes,Yes,1.0,27.4,53.7
Eastern Ethiopia,Ethiopia,Eastern Community 1291,3948,Borehole,69.4,7,7,Toilets,47225,No,Yes,2.9,16.7,60.3
Dar es Salaam,Tanzania,Dar Community 1292,4200,River,52.5,32,9,Latrines,2922,Yes,Yes,3.9,13.2,75.4
Western Uganda,Uganda,Western Community 1293,6085,Well,89.9,38,8,Latrines,41251,Yes,Yes,4.4,27.8,70.2
Northern Ghana,Ghana,Northern Community 1294,7636,Borehole,14.9,39,9,Latrines,21622,Yes,No,9.3,16.4,73.1
Southern Zambia,Zambia,Southern Community 1295,3789,Well,32.7,17,9,Toilets,9757,Yes,No,1.5,23.5,93.9
Eastern Nigeria,Nigeria,Eastern Community 1296,10298,Well,60.8,49,5,Latrines,13644,Yes,No,8.4,9.3,87.9
Western Uganda,Uganda,Western Community 1297,619,River,36.4,9,1,Latrines,12791,Yes,No,4.5,12.5,75.8
Central Senegal,Senegal,Central Community 1298,7411,River,48.9,45,6,Toilets,21118,Yes,No,3.2,25.9,90.1
Eastern Nigeria,Nigeria,Eastern Community 1299,5720,Well,26.5,28,6,Toilets,34813,No,Yes,7.1,6.4,80.3
Eastern Rwanda,Rwanda,Eastern Community 1300,7818,River,16.3,44,1,Latrines,32450,Yes,No,7.9,20.5,84.4
Eastern Rwanda,Rwanda,Eastern Community 1301,11044,Well,68.7,41,6,Toilets,8988,No,Yes,7.8,0.5,74.8
Eastern Ethiopia,Ethiopia,Eastern Community 1302,7600,Borehole,63.6,33,7,Toilets,2953,Yes,Yes,6.4,13.6,72.3
Western Uganda,Uganda,Western Community 1303,10498,Borehole,66.8,49,1,Latrines,45006,Yes,No,3.0,29.1,55.7
Northern Malawi,Malawi,Northern Community 1304,9625,Borehole,83.2,50,9,Toilets,1076,No,Yes,0.8,17.3,85.4
Dar es Salaam,Tanzania,Dar Community 1305,8033,River,99.4,49,2,Toilets,24027,Yes,No,1.9,9.6,59.8
Northern Malawi,Malawi,Northern Community 1306,11862,Borehole,35.9,14,1,Toilets,24204,No,No,6.9,15.2,65.3
Western Kenya,Kenya,Western Community 1307,13192,Well,50.0,5,1,Latrines,8353,No,Yes,9.3,23.4,92.8
Northern Ghana,Ghana,Northern Community 1308,4191,Borehole,54.2,6,1,Toilets,17891,No,Yes,3.3,6.1,53.5
Western Kenya,Kenya,Western Community 1309,8727,Borehole,21.8,41,2,Latrines,38335,Yes,No,6.9,28.2,86.5
Southern Zambia,Zambia,Southern Community 1310,5245,River,51.3,21,1,Toilets,7934,Yes,No,5.3,1.4,84.2
Northern Malawi,Malawi,Northern Community 1311,1840,Well,37.8,42,2,Toilets,7437,No,Yes,7.1,4.7,85.4
Eastern Rwanda,Rwanda,Eastern Community 1312,3498,Well,26.0,35,5,Toilets,9005,Yes,No,8.5,25.6,80.1
Western Uganda,Uganda,Western Community 1313,4398,Well,78.6,19,9,Latrines,18896,Yes,No,8.9,14.6,54.4
Eastern Nigeria,Nigeria,Eastern Community 1314,3897,Borehole,14.3,44,9,Latrines,8416,Yes,No,2.0,20.6,81.9
Central Senegal,Senegal,Central Community 1315,9253,River,44.8,11,9,Latrines,8202,No,No,9.6,4.3,92.8
Western Uganda,Uganda,Western Community 1316,4835,Well,76.9,50,4,Latrines,39626,No,Yes,7.7,26.1,84.8
Northern Malawi,Malawi,Northern Community 1317,2251,Borehole,55.7,13,9,Latrines,35236,Yes,No,8.4,12.4,58.2
Western Kenya,Kenya,Western Community 1318,12040,River,73.9,28,7,Latrines,38228,No,Yes,9.7,7.8,72.3
Western Kenya,Kenya,Western Community 1319,5954,Well,78.0,49,3,Latrines,40089,No,Yes,5.7,25.6,58.0
Eastern Ethiopia,Ethiopia,Eastern Community 1320,8302,Well,56.7,11,0,Toilets,38970,No,No,0.8,6.6,82.1
Western Kenya,Kenya,Western Community 1321,8298,Borehole,54.9,7,9,Latrines,3244,Yes,No,1.6,16.3,66.2
Western Kenya,Kenya,Western Community 1322,3548,Borehole,27.7,21,8,Latrines,48522,No,Yes,9.1,13.2,72.7
Western Uganda,Uganda,Western Community 1323,2800,Well,99.4,36,9,Toilets,20740,Yes,Yes,9.7,14.1,68.7
Southern Zambia,Zambia,Southern Community 1324,10382,Borehole,57.1,50,6,Toilets,6869,No,Yes,9.2,18.7,70.0
Southern Zambia,Zambia,Southern Community 1325,12495,Borehole,90.4,32,10,Toilets,25090,Yes,Yes,8.2,0.8,84.9
Northern Malawi,Malawi,Northern Community 1326,6673,River,36.9,21,2,Latrines,25547,Yes,No,1.0,18.9,50.8
Eastern Ethiopia,Ethiopia,Eastern Community 1327,2588,Borehole,55.7,23,5,Toilets,26790,No,No,4.1,19.9,76.8
Northern Malawi,Malawi,Northern Community 1328,6909,River,37.5,23,0,Toilets,11275,Yes,No,4.1,20.1,56.6
Eastern Rwanda,Rwanda,Eastern Community 1329,2453,Borehole,16.2,14,8,Latrines,3819,No,No,6.1,3.9,66.0
Western Kenya,Kenya,Western Community 1330,4322,River,30.3,43,7,Toilets,43422,No,Yes,7.0,3.4,81.7
Central Senegal,Senegal,Central Community 1331,3913,Borehole,69.0,46,6,Latrines,25992,No,No,1.4,22.2,56.1
Eastern Ethiopia,Ethiopia,Eastern Community 1332,2106,River,39.3,40,8,Latrines,25346,Yes,No,0.8,20.0,64.9
Eastern Ethiopia,Ethiopia,Eastern Community 1333,5865,Borehole,77.0,31,9,Toilets,43484,Yes,Yes,6.8,6.4,93.7
Western Uganda,Uganda,Western Community 1334,5206,Borehole,98.1,17,5,Latrines,14557,No,Yes,4.6,26.9,84.9
Western Kenya,Kenya,Western Community 1335,3666,Borehole,81.6,14,0,Latrines,19800,Yes,Yes,1.9,10.5,91.5
Central Senegal,Senegal,Central Community 1336,7109,Well,82.1,32,3,Toilets,37526,No,No,9.0,9.0,76.7
Northern Malawi,Malawi,Northern Community 1337,7544,Well,23.4,13,4,Latrines,40795,Yes,No,6.9,19.5,66.9
Western Kenya,Kenya,Western Community 1338,3576,River,32.6,2,8,Toilets,23337,No,No,8.3,2.8,56.8
Western Uganda,Uganda,Western Community 1339,12423,River,51.5,9,0,Latrines,42247,Yes,No,1.5,9.7,58.4
Central Senegal,Senegal,Central Community 1340,5266,Borehole,91.9,20,3,Latrines,3653,No,Yes,5.5,16.4,62.7
Northern Malawi,Malawi,Northern Community 1341,2346,Borehole,60.5,7,9,Toilets,14304,Yes,No,2.7,7.7,85.8
Eastern Ethiopia,Ethiopia,Eastern Community 1342,4188,Well,45.4,48,9,Toilets,22514,Yes,No,8.6,14.5,83.3
Western Uganda,Uganda,Western Community 1343,11655,Well,63.3,13,7,Latrines,16884,Yes,No,3.0,13.7,54.8
Eastern Nigeria,Nigeria,Eastern Community 1344,3858,Borehole,42.6,22,1,Toilets,34743,Yes,No,0.8,6.1,90.1
Northern Malawi,Malawi,Northern Community 1345,8722,River,35.3,45,9,Toilets,1294,Yes,No,9.0,10.2,67.4
Eastern Ethiopia,Ethiopia,Eastern Community 1346,11458,Well,61.1,18,2,Toilets,24409,No,Yes,1.0,27.5,53.9
Western Kenya,Kenya,Western Community 1347,4796,Borehole,29.3,26,10,Latrines,1300,Yes,Yes,8.4,7.1,59.9
Central Senegal,Senegal,Central Community 1348,13288,Borehole,48.2,3,6,Latrines,12421,Yes,Yes,8.0,20.7,76.5
Eastern Ethiopia,Ethiopia,Eastern Community 1349,7309,Borehole,28.0,12,4,Latrines,36992,Yes,Yes,2.4,11.3,83.0
Western Kenya,Kenya,Western Community 1350,11092,Borehole,48.7,9,3,Toilets,27121,Yes,No,6.8,25.7,79.5
Dar es Salaam,Tanzania,Dar Community 1351,5049,Well,74.9,15,3,Toilets,17784,Yes,Yes,6.9,14.4,81.6
Eastern Rwanda,Rwanda,Eastern Community 1352,8869,Borehole,43.6,23,0,Latrines,45579,No,No,6.5,14.5,53.1
Western Kenya,Kenya,Western Community 1353,1578,River,59.8,18,5,Toilets,39020,No,Yes,8.6,18.3,77.0
Eastern Rwanda,Rwanda,Eastern Community 1354,2022,Borehole,36.2,1,3,Toilets,12171,No,No,4.5,26.3,86.1
Northern Ghana,Ghana,Northern Community 1355,11103,River,91.9,34,5,Toilets,9054,No,No,7.1,29.5,74.9
Southern Zambia,Zambia,Southern Community 1356,4091,Well,12.5,14,6,Toilets,15645,No,Yes,4.1,1.8,88.7
Eastern Nigeria,Nigeria,Eastern Community 1357,14544,River,70.3,35,1,Latrines,8116,Yes,No,9.7,18.0,64.1
Dar es Salaam,Tanzania,Dar Community 1358,1329,River,85.0,16,4,Latrines,47881,Yes,No,5.7,27.1,68.0
Eastern Ethiopia,Ethiopia,Eastern Community 1359,10784,Borehole,53.3,3,6,Latrines,45597,No,No,2.8,4.2,77.6
Eastern Rwanda,Rwanda,Eastern Community 1360,11259,Well,18.7,42,10,Toilets,21460,Yes,Yes,2.5,18.2,56.5
Central Senegal,Senegal,Central Community 1361,4404,Borehole,39.1,50,9,Toilets,14018,No,Yes,9.2,2.4,71.7
Western Kenya,Kenya,Western Community 1362,6472,Borehole,67.2,24,7,Toilets,47526,No,Yes,9.1,4.2,63.0
Southern Zambia,Zambia,Southern Community 1363,12335,Borehole,62.6,27,8,Latrines,30594,No,No,6.6,12.9,90.2
Eastern Ethiopia,Ethiopia,Eastern Community 1364,9339,Well,85.6,9,8,Latrines,29450,No,No,3.8,8.3,65.5
Eastern Nigeria,Nigeria,Eastern Community 1365,10385,Borehole,83.5,41,5,Latrines,39688,Yes,No,8.8,15.7,50.6
Dar es Salaam,Tanzania,Dar Community 1366,14537,Borehole,18.2,19,7,Toilets,44199,No,No,5.5,11.7,75.6
Southern Zambia,Zambia,Southern Community 1367,5463,Borehole,45.8,5,2,Toilets,16004,No,No,3.7,18.8,66.4
Southern Zambia,Zambia,Southern Community 1368,8446,River,72.9,20,6,Toilets,8635,No,No,1.8,5.4,57.4
Western Uganda,Uganda,Western Community 1369,2413,Borehole,76.2,39,6,Toilets,10449,Yes,Yes,2.0,16.7,55.6
Northern Malawi,Malawi,Northern Community 1370,13038,River,55.4,42,7,Toilets,15638,No,Yes,8.5,28.5,78.7
Western Uganda,Uganda,Western Community 1371,12219,Well,21.0,16,2,Toilets,29612,Yes,No,1.8,10.0,63.5
Southern Zambia,Zambia,Southern Community 1372,1672,Well,30.2,9,0,Toilets,40661,No,Yes,2.3,20.0,63.4
Eastern Nigeria,Nigeria,Eastern Community 1373,8768,Borehole,57.7,5,2,Latrines,15606,Yes,No,0.8,10.5,74.3
Dar es Salaam,Tanzania,Dar Community 1374,7769,Well,56.6,30,2,Latrines,5948,No,No,5.6,14.4,91.3
Dar es Salaam,Tanzania,Dar Community 1375,10350,Well,11.9,21,3,Toilets,23013,Yes,No,8.6,20.8,77.8
Western Uganda,Uganda,Western Community 1376,10220,Borehole,92.8,19,1,Latrines,23532,Yes,No,6.8,27.3,70.1
Eastern Rwanda,Rwanda,Eastern Community 1377,11257,Well,76.1,18,10,Latrines,9096,Yes,No,6.7,0.1,67.5
Western Uganda,Uganda,Western Community 1378,6654,River,31.8,33,2,Latrines,14101,Yes,Yes,0.5,6.9,64.5
Western Kenya,Kenya,Western Community 1379,3244,Borehole,94.8,16,4,Latrines,3415,Yes,No,4.0,25.7,54.2
Western Uganda,Uganda,Western Community 1380,7760,Borehole,71.1,32,2,Latrines,16090,Yes,No,5.4,16.7,67.2
Eastern Nigeria,Nigeria,Eastern Community 1381,11400,Borehole,88.7,25,4,Latrines,36235,Yes,No,8.6,13.2,51.3
Western Uganda,Uganda,Western Community 1382,4354,Well,84.3,8,6,Toilets,12426,Yes,Yes,5.4,13.9,60.7
Eastern Nigeria,Nigeria,Eastern Community 1383,4459,River,26.2,27,10,Latrines,41033,Yes,Yes,5.5,3.9,61.5
Southern Zambia,Zambia,Southern Community 1384,8760,Well,42.1,16,8,Latrines,32227,Yes,Yes,6.9,16.8,89.1
Northern Malawi,Malawi,Northern Community 1385,5312,Borehole,57.0,9,5,Toilets,36973,No,Yes,1.4,11.4,94.2
Northern Ghana,Ghana,Northern Community 1386,6698,River,42.8,31,1,Toilets,2460,Yes,No,5.7,14.8,87.0
Dar es Salaam,Tanzania,Dar Community 1387,11628,River,65.0,28,4,Latrines,26607,Yes,No,6.8,15.8,51.5
Southern Zambia,Zambia,Southern Community 1388,12194,Well,96.1,47,10,Latrines,35614,No,No,7.7,9.6,81.8
Eastern Ethiopia,Ethiopia,Eastern Community 1389,5041,River,31.5,19,3,Toilets,7693,Yes,No,9.8,3.6,58.2
Eastern Rwanda,Rwanda,Eastern Community 1390,7956,River,92.6,36,7,Latrines,11377,Yes,No,6.6,19.3,63.6
Northern Malawi,Malawi,Northern Community 1391,4114,River,96.3,19,5,Latrines,13871,No,Yes,5.6,21.9,73.7
Southern Zambia,Zambia,Southern Community 1392,8517,Well,19.5,11,0,Toilets,4860,No,Yes,1.4,15.2,77.1
Northern Ghana,Ghana,Northern Community 1393,14992,River,95.0,46,0,Latrines,17918,No,No,9.3,26.6,85.5
Northern Malawi,Malawi,Northern Community 1394,14769,Borehole,30.5,46,9,Latrines,3906,Yes,No,4.9,25.8,65.7
Central Senegal,Senegal,Central Community 1395,14886,River,98.1,43,3,Latrines,12928,No,Yes,0.5,13.8,92.8
Western Kenya,Kenya,Western Community 1396,13002,Borehole,63.2,9,5,Latrines,25192,Yes,Yes,8.4,6.6,83.0
Western Kenya,Kenya,Western Community 1397,6246,Well,26.6,15,8,Toilets,26166,No,No,0.7,15.1,86.7
Central Senegal,Senegal,Central Community 1398,6592,Well,38.6,30,7,Latrines,32098,No,No,6.6,25.6,73.8
Western Uganda,Uganda,Western Community 1399,12879,River,26.3,19,7,Latrines,43041,Yes,Yes,9.6,3.5,93.6
Southern Zambia,Zambia,Southern Community 1400,1967,River,93.2,39,0,Toilets,5196,Yes,Yes,3.7,13.5,74.9
Western Uganda,Uganda,Western Community 1401,4494,River,14.7,2,9,Toilets,35035,No,Yes,2.4,11.1,76.3
Western Uganda,Uganda,Western Community 1402,10748,River,82.7,28,1,Latrines,40452,Yes,Yes,8.8,6.7,63.0
Northern Ghana,Ghana,Northern Community 1403,7787,River,66.0,11,7,Latrines,5371,No,No,1.7,8.7,89.4
Dar es Salaam,Tanzania,Dar Community 1404,13525,Borehole,67.1,29,5,Latrines,16181,No,Yes,7.1,27.8,63.7
Western Kenya,Kenya,Western Community 1405,9817,River,95.0,24,3,Latrines,33629,Yes,Yes,4.5,6.4,90.8
Western Uganda,Uganda,Western Community 1406,5099,River,21.7,49,4,Toilets,48341,No,No,8.1,19.1,75.1
Eastern Ethiopia,Ethiopia,Eastern Community 1407,4895,Well,35.8,24,8,Latrines,11142,No,Yes,9.5,25.1,88.4
